20	-4
34	20
67	53
-28	16
22	54
-11	37
-4	41
-39	21
12	-20
2	-2
-26	-5
-24	-24
-22	-35
-1	-4
-2	-4
6	-44
7	1
8	-6
39	7
8	31
-11	55
-51	16
-35	-22
-36	-58
7	-31
50	-23
28	-13
25	-17
22	-22
65	-22
47	2
31	23
9	39
-6	56
-34	26
-44	4
-9	-2
-26	29
-37	-2
-5	3
-19	-17
4	-4
19	-13
7	41
-7	11
-11	40
-31	11
-40	0
-44	-31
0	-36
26	-32
16	-21
24	-2
0	-75
44	15
22	-9
-2	2
10	18
12	56
-29	15
7	9
12	21
-1	3
-1	4
-2	14
-12	3
15	0
24	11
-55	-24
-3	-60
-32	-41
-1	-4
43	-13
38	-32
-19	-15
1	-7
27	43
9	2
-20	-29
-6	7
-33	7
-12	26
0	-26
14	-10
13	-8
14	0
-9	3
-33	27
-25	25
-26	-2
-7	-7
-10	1
5	-6
-8	12
11	3
-2	9
-19	13
-15	9
1	16
9	1
1	18
-1	27
-18	8
-24	-10
-25	-28
-6	-23
27	-5
42	-24
35	-14
11	-12
-10	-10
24	-12
7	-20
29	16
20	12
26	29
-25	7
-43	9
-5	-7
17	29
-8	-12
14	-17
-57	-7
-27	27
-6	26
10	-3
-2	-21
-16	25
-3	-2
-55	-38
-5	-19
8	-22
34	-20
53	23
10	15
6	11
-7	29
-23	4
-76	-60
-45	-28
35	28
-12	-31
43	2
-16	-37
2	8
-3	-14
22	28
13	11
-36	-35
9	16
-8	19
-29	-15
56	-4
24	3
9	64
9	35
20	27
-34	15
-49	-22
0	26
18	-9
-2	-13
7	-2
2	-28
28	-21
25	-29
33	11
-4	33
0	51
-24	5
-44	9
-25	-8
-16	-37
16	-13
-14	-14
-8	2
-8	15
-30	3
-32	-35
4	-35
38	-51
42	9
52	0
20	50
9	27
-2	38
-8	2
19	12
4	-11
-17	-13
13	18
-4	-9
-14	-22
29	-34
-16	-21
39	6
-22	-12
19	12
50	27
-40	-21
11	23
-44	-31
-1	2
2	24
22	1
0	13
-1	-15
-15	-8
55	12
-12	21
-81	-38
14	28
-22	-5
-5	-6
-51	-45
-12	16
3	-42
-16	12
-14	-15
23	-31
16	-58
53	-11
68	31
56	23
-11	23
-2	22
9	-16
12	-6
12	-25
-12	-18
29	8
7	46
28	22
4	25
-20	43
-7	10
-32	11
-18	42
-52	7
-30	6
-54	-31
-28	-16
-42	-54
12	-50
-8	-17
15	5
32	-19
-3	-8
27	-27
12	-9
31	16
-8	43
4	44
-7	47
-29	0
-5	3
-20	-27
4	-10
-14	1
-14	-26
33	-19
36	-5
26	-23
-10	-10
0	3
-13	-5
28	3
-10	-1
10	-8
15	37
43	7
16	14
-10	35
-39	5
-19	-22
-23	2
-31	-17
16	-40
28	-15
-24	-39
29	-47
17	-9
-8	2
15	36
0	30
25	38
-12	5
27	1
37	25
34	31
15	7
5	31
-16	43
-25	-3
-31	33
-4	-3
12	31
-30	-53
13	-29
22	-16
25	9
18	20
-1	31
-27	16
-69	-39
-26	-13
10	-19
32	-21
6	4
-12	13
-29	16
-23	-17
-11	-46
8	-12
34	-9
43	17
9	53
3	24
-14	32
-19	-34
-6	4
27	-6
-8	6
-4	21
-11	25
-17	-5
-23	-7
-6	-19
6	-7
0	-21
1	-12
1	-7
-10	-12
-12	-12
-7	-5
-20	-43
-15	-9
12	-25
17	32
25	0
50	5
24	2
-61	-43
-8	44
28	9
42	9
9	-11
27	-2
53	25
-8	13
15	14
-30	0
57	43
42	54
19	11
48	57
-30	29
22	-2
1	10
-2	-16
-12	-19
6	54
-47	12
-45	-18
8	-18
-9	-54
16	-20
-19	7
-2	1
2	-15
-19	-12
-40	-51
-17	25
5	9
-3	-7
-25	-25
3	29
6	-22
56	-4
-24	-53
23	11
12	32
-15	11
-24	32
-8	22
-3	16
-11	-6
-19	2
-2	12
5	-14
44	8
47	5
7	9
-23	6
-13	30
-8	6
-22	-13
-8	-11
-8	14
-6	4
5	-25
-14	-15
11	-15
9	-38
53	0
35	45
2	-4
-20	-22
-18	26
14	-24
1	-20
-28	-42
59	33
-2	-4
9	60
-9	-3
-32	-54
8	22
6	56
-22	12
-18	34
-53	6
-12	56
-51	-8
-60	-56
-16	-70
-12	-64
80	11
22	-4
13	-65
59	44
1	36
29	50
-1	10
16	38
-2	13
-3	-14
18	-1
-10	9
50	54
-8	18
11	-13
-27	-1
-23	-23
1	-14
20	-4
4	-1
19	8
9	21
12	26
5	-7
-36	3
1	-5
-21	-2
-14	-33
-50	-42
4	42
11	2
-6	-14
16	-6
36	26
21	2
1	15
-39	1
3	-9
-21	7
-2	3
9	-3
29	-6
-2	4
8	-19
-18	0
-12	4
8	-6
7	19
-27	5
-20	-16
-37	-16
0	-46
18	-28
19	-43
38	22
22	39
-39	33
1	54
-7	-26
-40	-12
-1	-29
32	-1
-20	-23
9	3
25	28
-19	24
4	17
-14	-21
-18	13
-5	54
-33	10
-32	11
24	-7
-32	-38
-35	-37
-62	-89
24	-4
-10	-65
28	8
43	-15
21	-18
63	-14
25	19
35	31
-13	20
-28	11
-12	11
21	56
-24	10
-18	2
-45	4
-18	-14
-20	-40
-25	-38
19	4
9	19
33	9
-15	39
-4	31
-2	-14
-9	-17
-17	-35
-31	-29
4	-7
-10	6
-11	21
-7	29
-2	-27
-45	-60
-22	-32
21	-41
15	-58
75	10
45	14
2	30
-23	-4
-26	1
17	23
27	9
16	28
-17	41
-29	25
-35	16
-34	0
-15	-32
-76	-74
2	-18
11	-16
-12	-25
-17	-20
-13	7
-19	-8
-27	-4
4	18
-36	-47
-35	-53
0	-14
34	-9
46	-6
10	-4
29	-26
57	23
59	47
54	34
-46	4
-8	23
-2	19
-45	-8
8	8
-43	-6
23	1
-30	-36
14	-22
26	4
18	18
38	17
46	21
27	-6
2	23
-2	20
29	11
-16	16
-74	-44
-11	0
-12	0
4	-12
10	14
5	4
21	-1
17	-14
-10	3
3	12
11	2
6	10
12	11
-43	1
-31	27
