10	18
-1	20
-9	34
-33	26
-53	5
-53	-25
-14	-44
3	-30
11	-14
-2	5
-13	26
-16	15
-16	-23
-1	-39
35	-25
50	5
34	48
-1	32
-15	22
-45	0
-27	-47
7	-43
24	-33
11	1
24	48
0	60
-29	36
-30	12
-29	0
-21	0
-5	0
6	-6
0	-3
16	9
-24	-23
8	1
-18	-9
-4	-37
15	-40
37	-24
47	-5
44	7
11	31
-12	32
-17	7
-9	-29
17	-15
8	-9
8	19
-8	15
-21	-3
-12	-16
29	-14
40	5
34	13
11	39
-19	29
-34	16
-16	-5
-2	-14
16	-9
15	34
-10	34
-35	23
-38	3
-38	-16
-8	-35
-5	-50
34	-17
34	4
16	38
-14	28
-30	5
-22	-14
15	-13
31	7
0	-6
8	22
-24	18
-35	-7
1	-3
9	-3
7	-10
-1	-6
-3	2
-21	-14
8	-5
-17	-34
-7	-15
-46	-47
-38	-37
1	-6
32	-34
32	-16
40	-6
41	22
16	32
-14	31
-25	7
-6	-4
-6	-9
6	7
-2	4
-12	32
-16	5
-12	3
-26	1
-29	-25
-17	-33
5	-26
56	-16
63	-1
31	17
36	56
6	65
-26	10
-17	-16
23	-21
52	0
24	0
14	31
-37	18
-16	17
-16	-6
20	-20
30	0
28	5
32	21
34	23
-1	23
-5	29
-16	50
-39	42
-47	18
-63	-15
-27	-32
-3	-32
28	-33
17	-17
11	3
8	-1
10	-1
19	-1
32	2
18	5
-16	5
-23	-21
-12	-35
20	-36
28	-20
28	5
34	29
-11	40
-32	17
-36	-16
-8	-36
20	-34
48	-1
44	41
16	59
-57	37
-59	29
-47	-15
-15	-46
32	-46
57	-26
73	16
31	46
10	55
-17	20
-10	-4
20	-28
44	-1
15	-3
15	27
15	45
-23	15
-23	11
-31	-21
9	-21
0	-3
-37	-41
0	4
-6	-21
8	-34
-40	-79
26	-17
44	-2
4	-4
4	34
16	25
-36	0
-15	31
-35	11
-30	-13
-51	-47
1	-39
1	-47
-1	-41
5	-13
-13	-13
-17	-15
21	-2
31	-2
31	4
32	22
-5	36
-29	27
-41	14
-37	0
-15	-32
-16	-47
-12	-60
-14	-15
-16	-15
18	19
0	40
-12	12
-25	6
-12	4
5	-18
20	-27
44	5
64	24
5	41
-33	21
-57	-7
-51	-15
-29	-15
-12	-41
16	-26
30	12
20	16
-23	-3
-36	-3
-9	28
-21	24
-32	13
-32	-25
-32	-35
-12	-43
36	-20
32	-10
-12	-25
-11	-5
-1	7
-3	0
-4	-19
8	-11
12	3
-1	9
-10	8
-9	-3
3	-24
17	-26
56	4
49	34
21	53
-9	48
-20	13
-24	-24
8	-39
8	-56
16	-43
8	-33
32	-5
32	16
-1	8
13	9
-17	-3
-19	-7
-23	-8
-21	-5
-38	-33
-24	-33
24	13
0	16
-23	18
-39	-14
-27	-7
-9	-18
-3	-30
11	-17
13	10
-9	16
-21	23
-37	-6
-5	-9
-1	-13
13	0
8	16
-24	3
-37	-5
-14	-41
18	-49
42	-12
58	28
40	64
-9	64
-33	68
-38	34
-38	-12
-24	-48
8	-39
9	-33
9	-6
9	-5
0	-6
-7	24
-25	-1
-19	17
-33	-15
-23	-7
5	-8
17	-7
32	-6
25	6
17	-5
17	14
15	-4
48	7
22	14
19	37
2	14
1	-7
-8	-16
7	9
-8	-15
-1	32
-4	3
-24	8
0	-24
7	-32
35	-23
45	5
12	30
-7	23
-46	-12
-70	-73
16	-45
-10	-47
48	-2
-10	-5
-1	30
0	40
-18	36
-12	12
-10	4
-2	5
-4	1
-10	-19
14	0
21	32
5	17
-24	1
-37	0
-21	0
-3	-8
32	18
17	6
-3	10
0	14
-9	4
-5	2
2	-21
0	-33
16	8
8	17
-8	13
-12	-7
1	-24
32	-24
25	-17
33	24
16	38
-13	28
-21	15
-26	-6
-16	-15
-11	11
-17	25
-27	9
-65	-49
-29	-39
-1	-52
34	-32
44	-19
24	5
-2	13
-4	34
-55	-33
-35	-49
36	-17
42	-14
46	-15
31	49
17	67
-8	60
-16	34
-47	-13
-17	4
8	16
-28	-4
-6	15
-6	1
-7	-17
11	-17
25	-15
-5	-33
-31	-20
-10	11
-15	1
0	-7
8	-12
2	-20
15	10
4	15
-19	16
-35	-8
-19	-32
6	-41
25	-15
28	-22
31	10
8	16
-1	18
-3	-5
9	-14
22	-14
26	0
22	23
10	20
-2	32
-28	34
-63	-19
-68	-37
-29	-57
-17	-63
34	-51
34	-41
33	-24
29	13
28	41
8	23
18	29
-9	23
-5	31
-2	28
0	36
-14	5
-18	-17
-11	-23
-2	-11
4	13
-11	31
-39	15
-16	8
-49	-39
-11	-32
13	-24
0	-7
-14	13
-30	-17
-32	-45
16	-51
22	-89
62	-43
84	28
47	47
-4	56
-45	30
-54	-14
-8	-36
10	-41
23	-16
35	17
14	22
-9	22
-20	25
-44	-16
-11	9
-3	-1
-9	0
5	-1
1	-7
12	-34
24	-9
3	-14
0	-2
0	16
-1	18
-7	2
16	-5
-6	-46
38	-16
16	-13
32	34
0	31
-21	32
-32	5
-28	-33
-12	-43
28	-27
16	-19
36	32
-25	15
-27	25
-65	-15
-53	-15
-27	-32
-1	-35
20	-18
28	4
1	15
3	50
-17	64
-22	20
-18	4
-32	-26
-4	-14
32	-21
1	-15
34	-25
33	-17
31	-3
20	4
4	1
-17	-3
-11	16
5	-1
1	-7
1	-7
-21	-15
-19	16
-31	19
-40	-21
-30	-6
-8	-9
18	0
19	2
25	13
26	20
-1	9
-17	9
-19	-7
-25	-23
-17	-35
-3	-31
-4	-57
38	-23
17	-8
19	26
9	50
-15	30
-43	24
